experiment,model,accuracy,f1_macro,params
baselines,LogisticRegression,0.2690164391195319,0.2590251407311982,
baselines,RandomForest,0.2369740874895514,0.2029485870770368,
cnn_variants,CNN_Baseline,0.3200055725828922,0.1990038516596383,
cnn_variants,CNN_Baseline,0.2857341877960435,0.1442515571362608,
cnn_variants,CNN_Improved,0.2598216773474505,0.0893608128891502,
cnn_variants,CNN_base,0.1427974366118696,0.0642750928947198,
cnn_variants,CNN_geo,0.1940651992198384,0.0895776724358505,
cnn_variants,CNN_photo,0.1854276957369741,0.0859471204151821,
cnn_variants,CNN_combined,0.1297018668152688,0.0464534825983085,
cnn_variants,CNN_Baseline,0.2751462803009195,0.1318602118575179,
cnn_variants,CNN_Baseline,0.2559208693229312,0.1383455976548695,
cnn_variants,CNN_Baseline,0.27751462803009197,0.12705266341556784,
